Process Log at 2026-03-12 13:46:38.928760
----------------------------------------
Name: System Idle Process, PID: 0, CPU: 0.0%, Memory: 0.01 MB
Name: System, PID: 4, CPU: 0.0%, Memory: 0.14 MB
Name: Registry, PID: 124, CPU: 0.0%, Memory: 47.00 MB
Name: fontdrvhost.exe, PID: 504, CPU: 0.0%, Memory: 3.32 MB
Name: smss.exe, PID: 548, CPU: 0.0%, Memory: 0.99 MB
Name: svchost.exe, PID: 584, CPU: 0.0%, Memory: 62.24 MB
Name: csrss.exe, PID: 736, CPU: 0.0%, Memory: 4.95 MB
Name: wininit.exe, PID: 848, CPU: 0.0%, Memory: 5.32 MB
Name: csrss.exe, PID: 876, CPU: 0.0%, Memory: 5.64 MB
Name: services.exe, PID: 928, CPU: 0.0%, Memory: 11.21 MB
Name: lsass.exe, PID: 936, CPU: 0.0%, Memory: 27.36 MB
Name: winlogon.exe, PID: 1044, CPU: 0.0%, Memory: 10.89 MB
Name: WUDFHost.exe, PID: 1052, CPU: 0.0%, Memory: 15.25 MB
Name: chrome.exe, PID: 1060, CPU: 0.0%, Memory: 74.44 MB
Name: svchost.exe, PID: 1152, CPU: 0.0%, Memory: 26.98 MB
Name: fontdrvhost.exe, PID: 1160, CPU: 0.0%, Memory: 6.86 MB
Name: svchost.exe, PID: 1212, CPU: 0.0%, Memory: 10.09 MB
Name: svchost.exe, PID: 1360, CPU: 0.0%, Memory: 14.74 MB
Name: svchost.exe, PID: 1404, CPU: 0.0%, Memory: 12.84 MB
Name: svchost.exe, PID: 1536, CPU: 0.0%, Memory: 9.95 MB
Name: svchost.exe, PID: 1544, CPU: 0.0%, Memory: 11.79 MB
Name: svchost.exe, PID: 1556, CPU: 0.0%, Memory: 10.77 MB
Name: svchost.exe, PID: 1592, CPU: 0.0%, Memory: 9.85 MB
Name: svchost.exe, PID: 1640, CPU: 0.0%, Memory: 15.59 MB
Name: svchost.exe, PID: 1692, CPU: 0.0%, Memory: 9.99 MB
Name: IntelCpHDCPSvc.exe, PID: 1712, CPU: 0.0%, Memory: 6.20 MB
Name: MusNotifyIcon.exe, PID: 1740, CPU: 0.0%, Memory: 0.91 MB
Name: svchost.exe, PID: 1744, CPU: 0.0%, Memory: 8.65 MB
Name: python.exe, PID: 1788, CPU: 0.0%, Memory: 15.06 MB
Name: svchost.exe, PID: 1792, CPU: 0.0%, Memory: 5.47 MB
Name: svchost.exe, PID: 1808, CPU: 0.0%, Memory: 7.22 MB
Name: svchost.exe, PID: 1888, CPU: 0.0%, Memory: 7.34 MB
Name: svchost.exe, PID: 2004, CPU: 0.0%, Memory: 8.03 MB
